title,url,publication_date
Experimental Jurisprudence,https://plato.stanford.edu/entries/experimental-jurisprudence/,2025-06-11
Empirical Approaches to Moral Responsibility,https://plato.stanford.edu/entries/moral-responsibility-empirical/,2025-06-11
The Ethics of Abortion,https://plato.stanford.edu/entries/abortion/,2025-05-14
Dai Zhen,https://plato.stanford.edu/entries/dai-zhen/,2025-05-02
George Eliot,https://plato.stanford.edu/entries/george-eliot/,2025-04-28
Branching Time,https://plato.stanford.edu/entries/branching-time/,2025-04-07
Mexican Existentialism,https://plato.stanford.edu/entries/existentialism-mexican/,2025-03-29
Aesthetics in Critical Theory,https://plato.stanford.edu/entries/aesthetics-critical-theory/,2025-03-25
Dehumanization,https://plato.stanford.edu/entries/dehumanization/,2025-03-24
Prioritarianism as a Theory of Value,https://plato.stanford.edu/entries/prioritarianism/,2025-03-24
Comparative Philosophy of Religion,https://plato.stanford.edu/entries/religion-comparative/,2025-03-19
Edith Landmann-Kalischer,https://plato.stanford.edu/entries/landmann-kalischer/,2025-03-18
Ideology,https://plato.stanford.edu/entries/ideology/,2025-03-07
The Textual Transmission of the Aristotelian Corpus,https://plato.stanford.edu/entries/aristotle-text/,2025-03-07
Maria Montessori,https://plato.stanford.edu/entries/montessori-maria/,2025-02-23
Nietzsche’s Aesthetics,https://plato.stanford.edu/entries/nietzsche-aesthetics/,2025-02-14
Realism and Anti-Realism about Metaphysics,https://plato.stanford.edu/entries/realism-about-metaphysics/,2025-02-10
Paradox of Tragedy,https://plato.stanford.edu/entries/paradox-of-tragedy/,2025-01-13
Animal Social Cognition,https://plato.stanford.edu/entries/animal-social-cognition/,2024-12-05
Philanthropy,https://plato.stanford.edu/entries/philanthropy/,2024-11-12
Reason and Religious Commitment,https://plato.stanford.edu/entries/religious-commitment-reason/,2024-11-05
ʿAyn al-Qudat,https://plato.stanford.edu/entries/al-qudat/,2024-10-30
Animal Communication,https://plato.stanford.edu/entries/animal-communication/,2024-10-23
Experimental Philosophy of Art and Aesthetics,https://plato.stanford.edu/entries/experimental-aesthetics/,2024-10-22
Locke on Medicine,https://plato.stanford.edu/entries/locke-on-medicine/,2024-10-14
Johannes Clauberg,https://plato.stanford.edu/entries/clauberg/,2024-10-09
Trans Philosophy,https://plato.stanford.edu/entries/trans/,2024-10-08
